Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
23/04/2023,2022,Waregem,Cercle Brugge,3.0,3.6,2.15,2,3,A,0,2,5,11,0,2,19,25,0,2,3,6,0,1,19,25
23/04/2023,2022,Oud-Heverlee Leuven,Standard,2.5,3.6,2.5,3,2,H,2,1,8,5,2,1,38,31,1,1,5,5,1,1,38,31
23/04/2023,2022,Kortrijk,St. Gilloise,5.25,4.2,1.53,2,4,A,1,1,1,1,0,0,25,31,1,1,5,6,0,1,25,31
23/04/2023,2022,Gent,Oostende,1.2,6.0,12.0,1,2,A,2,0,5,1,1,0,56,25,0,2,4,12,0,2,56,25
23/04/2023,2022,Club Brugge,Eupen,1.3,5.0,9.5,7,0,H,3,0,6,0,3,0,56,38,0,2,1,5,0,1,56,38
23/04/2023,2022,Charleroi,Genk,3.6,3.6,1.91,2,2,D,2,1,4,3,0,0,44,6,0,1,3,5,0,1,44,6
23/04/2023,2022,Anderlecht,Mechelen,1.36,5.0,7.0,2,3,A,1,0,4,2,1,0,38,25,0,3,2,11,0,2,38,25
23/04/2023,2022,St Truiden,Antwerp,4.33,3.5,1.8,0,1,A,2,0,9,3,1,0,38,25,2,0,5,1,2,0,38,25
22/04/2023,2022,Seraing,Westerlo,5.5,4.0,1.55,1,1,D,0,3,0,9,0,3,6,19,1,1,2,3,0,1,6,19
16/04/2023,2022,St. Gilloise,Seraing,1.08,10.0,23.0,2,1,H,3,0,6,3,0,0,75,12,0,3,2,7,0,2,75,12
16/04/2023,2022,Antwerp,Kortrijk,1.29,5.75,9.0,1,0,H,2,1,7,2,1,0,75,12,0,2,4,8,0,2,75,12
16/04/2023,2022,Mechelen,Gent,4.75,3.8,1.67,1,1,D,1,1,3,5,0,1,44,31,2,1,11,4,2,1,44,31
16/04/2023,2022,Genk,Anderlecht,1.85,3.6,4.0,5,2,H,2,1,6,3,1,0,81,6,2,1,3,1,1,0,81,6
