Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
18/05/2023,2022,Newcastle,Brighton,2.0,3.8,3.5,4.0,1.0,H,2,1,9,4,2,1,59,29,2,1,6,4,1,1,59,29
15/05/2023,2022,Leicester,Liverpool,5.25,4.33,1.57,0.0,3.0,A,1,1,4,4,0,0,24,24,2,0,8,2,1,0,24,24
14/05/2023,2022,Arsenal,Brighton,1.73,4.2,4.2,0.0,3.0,A,2,0,10,5,2,0,76,18,1,2,4,6,0,1,76,18
14/05/2023,2022,Everton,Man City,9.0,4.75,1.36,0.0,3.0,A,0,2,3,8,0,2,29,18,3,0,7,2,1,0,29,18
14/05/2023,2022,Brentford,West Ham,2.0,3.5,3.6,2.0,0.0,H,1,1,4,4,0,0,47,41,1,2,7,7,1,1,47,41
13/05/2023,2022,Southampton,Fulham,2.75,3.3,2.5,0.0,2.0,A,0,3,1,7,0,2,12,24,1,2,3,3,1,0,12,24
13/05/2023,2022,Man United,Wolves,1.36,5.0,7.5,2.0,0.0,H,3,0,4,0,1,0,75,19,0,2,2,9,0,1,75,19
13/05/2023,2022,Crystal Palace,Bournemouth,1.83,3.6,4.2,2.0,0.0,H,2,0,6,4,0,0,35,35,3,0,5,2,0,0,35,35
13/05/2023,2022,Chelsea,Nott'm Forest,1.5,4.5,6.0,2.0,2.0,D,0,2,1,4,0,1,35,29,0,3,3,7,0,1,35,29
13/05/2023,2022,Aston Villa,Tottenham,2.25,3.6,2.9,2.0,1.0,H,3,0,6,0,2,0,59,12,0,2,5,11,0,1,59,12
13/05/2023,2022,Leeds,Newcastle,4.33,4.2,1.7,2.0,2.0,D,0,2,3,12,0,2,29,35,2,1,6,5,1,1,29,35
08/05/2023,2022,Nott'm Forest,Southampton,2.1,3.6,3.4,4.0,3.0,H,1,1,4,4,1,1,35,35,0,2,4,7,0,1,35,35
08/05/2023,2022,Brighton,Everton,1.33,5.25,9.0,1.0,5.0,A,2,0,10,3,1,0,56,19,0,1,2,4,0,1,56,19
08/05/2023,2022,Fulham,Leicester,2.63,3.5,2.6,5.0,3.0,H,1,2,3,4,0,0,41,24,0,2,3,6,0,1,41,24
07/05/2023,2022,West Ham,Man United,3.4,3.75,2.05,1.0,0.0,H,0,2,4,9,0,1,35,24,1,1,4,3,1,0,35,24
07/05/2023,2022,Newcastle,Arsenal,2.45,3.75,2.63,0.0,2.0,A,3,0,11,2,3,0,62,31,0,1,5,8,0,1,62,31
06/05/2023,2022,Liverpool,Brentford,1.44,5.0,6.0,1.0,0.0,H,3,0,8,5,0,0,71,24,1,2,2,3,1,1,71,24
06/05/2023,2022,Wolves,Aston Villa,2.88,3.3,2.5,1.0,0.0,H,3,0,5,0,2,0,47,12,1,1,3,3,0,0,47,12
06/05/2023,2022,Tottenham,Crystal Palace,1.8,3.8,4.2,1.0,0.0,H,1,1,6,6,0,0,65,6,2,1,7,3,2,1,65,6
06/05/2023,2022,Man City,Leeds,1.17,8.5,15.0,2.0,1.0,H,3,0,10,2,3,0,88,6,0,3,3,10,0,2,88,6
06/05/2023,2022,Bournemouth,Chelsea,3.3,3.5,2.15,1.0,3.0,A,1,2,4,7,1,2,35,24,1,2,4,5,1,1,35,24
04/05/2023,2022,Brighton,Man United,1.95,3.5,3.75,1.0,0.0,H,2,0,10,3,1,0,53,20,1,1,4,4,1,1,53,20
03/05/2023,2022,Man City,West Ham,1.2,7.0,13.0,3.0,0.0,H,3,0,11,3,3,0,88,6,2,1,8,4,1,0,88,6
03/05/2023,2022,Liverpool,Fulham,1.25,5.75,11.0,1.0,0.0,H,2,0,9,7,0,0,69,25,1,2,4,4,1,0,69,25
02/05/2023,2022,Arsenal,Chelsea,1.6,4.0,5.5,3.0,1.0,H,2,0,11,5,2,0,75,19,1,2,3,4,1,1,75,19
01/05/2023,2022,Leicester,Everton,2.0,3.5,3.75,2.0,2.0,D,1,2,3,4,0,0,25,19,0,1,2,4,0,1,25,19
30/04/2023,2022,Liverpool,Tottenham,1.53,4.5,5.75,4.0,3.0,H,2,0,12,4,1,0,67,27,0,1,5,10,0,1,67,27
