Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
13/11/2022,2022,Santos,Fortaleza,3.2,3.3,2.24,0.0,2.0,A,1,1,5,3,1,0,44,28,1,1,3,6,0,1,44,28
13/11/2022,2022,Internacional,Palmeiras,2.49,3.45,2.72,3.0,0.0,H,3,0,8,3,2,0,67,28,1,0,5,3,1,0,67,28
13/11/2022,2022,Goias,Sao Paulo,4.85,3.78,1.69,0.0,4.0,A,1,0,3,2,0,0,33,44,1,1,3,4,0,1,33,44
13/11/2022,2022,Cuiaba,Coritiba,1.94,3.37,4.0,2.0,1.0,H,1,1,3,3,0,0,28,44,1,2,3,6,0,2,28,44
13/11/2022,2022,Corinthians,Atletico-MG,3.06,3.07,2.45,0.0,1.0,A,2,1,3,3,0,1,67,22,0,1,2,3,0,0,67,22
13/11/2022,2022,Ceara,Juventude,1.67,3.84,4.98,4.0,1.0,H,0,1,2,3,0,0,17,44,0,3,1,6,0,1,17,44
13/11/2022,2022,Bragantino,Fluminense,2.4,3.53,2.76,0.0,1.0,A,1,2,5,8,1,2,44,28,3,0,6,0,2,0,44,28
13/11/2022,2022,Athletico-PR,Botafogo RJ,2.18,3.26,3.38,3.0,0.0,H,2,1,5,5,0,1,56,33,2,0,5,2,1,0,56,33
13/11/2022,2022,America MG,Atletico GO,1.59,4.21,5.14,1.0,1.0,D,1,2,3,4,0,0,50,17,0,1,3,4,0,0,50,17
12/11/2022,2022,Flamengo RJ,Avai,1.16,7.56,16.07,1.0,2.0,A,2,1,5,4,0,0,61,17,0,2,1,5,0,1,61,17
10/11/2022,2022,Botafogo RJ,Santos,2.21,3.24,3.37,3.0,0.0,H,1,2,2,4,0,1,28,22,2,1,7,5,1,0,28,22
10/11/2022,2022,Atletico-MG,Cuiaba,1.46,4.17,7.25,3.0,0.0,H,1,1,1,2,0,1,39,28,1,1,4,3,1,0,39,28
10/11/2022,2022,Palmeiras,America MG,1.52,4.5,5.59,2.0,1.0,H,2,0,7,0,2,0,67,22,2,0,8,3,2,0,67,22
10/11/2022,2022,Juventude,Flamengo RJ,5.45,3.75,1.64,2.0,2.0,D,0,2,2,4,0,0,11,44,2,1,4,3,0,0,11,44
10/11/2022,2022,Atletico GO,Athletico-PR,2.1,3.39,3.46,1.0,1.0,D,1,1,4,4,0,0,33,22,0,3,3,8,0,2,33,22
09/11/2022,2022,Fortaleza,Bragantino,1.81,3.58,4.39,6.0,0.0,H,1,0,4,2,1,0,33,44,1,2,4,5,0,0,33,44
09/11/2022,2022,Fluminense,Goias,1.36,5.03,7.82,3.0,0.0,H,1,1,5,5,1,1,61,17,1,2,6,8,0,1,61,17
09/11/2022,2022,Coritiba,Corinthians,2.82,2.96,2.73,2.0,2.0,D,2,0,4,2,0,0,61,17,2,0,3,1,0,0,61,17
09/11/2022,2022,Avai,Ceara,4.05,3.33,1.96,2.0,0.0,H,0,3,2,7,0,1,33,22,0,3,1,4,0,0,33,22
09/11/2022,2022,Sao Paulo,Internacional,1.87,3.5,4.26,0.0,1.0,A,2,0,7,4,1,0,44,33,1,1,2,2,0,0,44,33
